tof,distance,polar,azimuthal,weight
4092.69995117,3.3029,2.29661,-0.438913,0.000322874
3860.60009766,3.22298,2.26915,-0.312542,3.88697e-06
3869.5,3.21791,2.29511,-0.31352,0.0118531
4135.39990234,3.51247,2.23033,-0.610872,0.00093299
3873.0,3.31774,2.26095,-0.443128,9.5459e-05
3984.69995117,3.20589,2.31528,-0.296231,0.00580887
4042.60009766,3.27117,2.2808,-0.391964,0.00013327
4141.5,3.47885,2.26,-0.598921,1.95832e-05
3858.40014648,3.19274,2.30211,-0.266307,0.0143937
4105.0,3.29373,2.30725,-0.430518,0.0681743
3846.0,3.22344,2.3019,-0.32528,0.0370374
4098.39990234,3.27483,2.3125,-0.406851,0.0217349
4062.60009766,3.28041,2.28643,-0.406597,0.103401
3888.69995117,3.36119,2.26572,-0.49339,0.00424651
4067.60009766,3.24927,2.28661,-0.362332,0.842483
4013.30004883,3.23053,2.26719,-0.324614,0.00253545
3873.60009766,3.2651,2.26633,-0.377549,0.0859717
3908.69995117,3.44429,2.25324,-0.56671,2.64258e-10
4099.10009766,3.32012,2.26819,-0.44908,0.00554809
3853.19995117,3.23107,2.29979,-0.337642,0.0573288
4033.0,3.2451,2.28773,-0.356323,0.00213377
4075.30004883,3.34567,2.23875,-0.464035,0.000110389
4001.30004883,3.2313,2.30805,-0.340242,0.00145347
3994.80004883,3.2122,2.33051,-0.310621,0.0113765
4122.10009766,3.48917,2.25757,-0.606139,0.0121657
3880.19995117,3.25805,2.30062,-0.37992,7.32004e-05
3860.69995117,3.3156,2.25368,-0.437238,0.0122199
3964.10009766,3.19111,2.3368,-0.268304,0.106862
3874.10009766,3.25351,2.29364,-0.371084,0.0211994
3905.0,3.40585,2.25484,-0.532739,0.000643734
4079.0,3.31515,2.28532,-0.449933,3.989e-05
4119.60009766,3.48228,2.25919,-0.601335,0.000486412
4036.69995117,3.27575,2.2796,-0.397806,0.00703058
4092.0,3.33207,2.24198,-0.450566,0.00179148
3866.69995117,3.36694,2.2643,-0.498738,4.06931e-13
3847.40014648,3.25489,2.31812,-0.379637,7.94027e-11
