tof,distance,polar,azimuthal,weight
3871.80004883,3.27575,2.2796,-0.397806,0.222201
3869.90014648,3.25374,2.30181,-0.373894,0.0887599
4053.5,3.33611,2.26419,-0.465639,0.0560325
3908.0,3.44407,2.24583,-0.562962,6.34845e-06
3858.80004883,3.21791,2.30344,-0.31594,2.90234e-07
4047.90014648,3.24579,2.2713,-0.351046,0.0437431
3902.19995117,3.38159,2.25306,-0.508467,1.55373e-10
3904.90014648,3.42788,2.24961,-0.550504,0.0024302
3962.0,3.20565,2.30689,-0.293925,0.00155709
3924.60009766,3.48917,2.2067,-0.579471,0.110988
3827.80004883,3.30793,2.29526,-0.444657,0.00569719
4040.69995117,3.24856,2.31993,-0.37043,6.56738e-15
3852.5,3.19586,2.30123,-0.272678,2.04902e-07
3868.0,3.19429,2.31012,-0.271612,2.65112e-05
4068.69995117,3.39426,2.23497,-0.511904,0.00566477
3893.40014648,3.31001,2.28667,-0.444266,9.85619e-05
3851.30004883,3.22344,2.3019,-0.32528,0.0395074
3984.60009766,3.21255,2.30495,-0.306542,0.00285651
3959.69995117,3.20138,2.28306,-0.277877,0.00102385
3853.19995117,3.21502,2.2794,-0.302651,0.000469993
3869.0,3.30358,2.30455,-0.442164,1.09673e-11
3871.30004883,3.2689,2.2814,-0.389032,0.00663677
4113.5,3.47479,2.25352,-0.592588,0.00652693
4016.40014648,3.22484,2.32679,-0.332949,4.19294e-14
4080.19995117,3.2714,2.2727,-0.389094,1.08142e-11
3897.80004883,3.32804,2.2662,-0.457394,0.000194063
3862.60009766,3.23522,2.30695,-0.346423,0.000450539
4075.69995117,3.33139,2.24983,-0.453719,0.0428956
4071.40014648,3.33883,2.26351,-0.468373,0.0022322
3899.19995117,3.36119,2.258,-0.489969,0.00804044
3889.10009766,3.43175,2.22645,-0.542138,0.064037
3881.90014648,3.34844,2.2381,-0.466708,4.09574e-06
3855.19995117,3.24037,2.32228,-0.358051,0.0318228
3907.5,3.47755,2.23084,-0.583513,0.396814
4083.40014648,3.24717,2.28717,-0.359331,6.0696e-09
3887.69995117,3.40607,2.23972,-0.525603,0.0509163
3875.10009766,3.24304,2.28828,-0.353309,6.49817e-13
4069.19995117,3.29616,2.30658,-0.433442,2.31177e-09
